,company_name,company_rating,other_data
0,iEnergizer,4.7,"BPO , 10k-50k Employees , 24 years old , Noida +31 more"
1,HCLTech,3.7,"IT Services & Consulting , 1 Lakh+ Employees , Public , 33 years old , Noida +184 more"
2,Genpact,3.9,"IT Services & Consulting , 1 Lakh+ Employees , Public , 27 years old , New York +112 more"
3,Tech Mahindra,3.7,"IT Services & Consulting , 1 Lakh+ Employees , Public , 38 years old , Pune +269 more"
4,TCS,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 56 years old , Mumbai +349 more"
5,EXL Service,3.8,"Analytics & KPO , 10k-50k Employees , 25 years old , New York City +46 more"
6,Paytm,3.5,"FinTech , 10k-50k Employees , Public , 14 years old , Noida +327 more"
7,Ericsson,4.3,"Telecom , 10k-50k Employees , Forbes Global 2000 , 148 years old , Stockholm +151 more"
8,Capgemini,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 57 years old , Paris +142 more"
9,Accenture,4.0,"IT Services & Consulting , 1 Lakh+ Employees , Public , 35 years old , Dublin +181 more"
10,HCL Group,3.8,"IT Services & Consulting , 1 Lakh+ Employees , 48 years old , Chennai +74 more"
11,Indiamart Intermesh,3.6,"Internet , 5k-10k Employees , 28 years old , Noida +145 more"
12,Info Edge,4.0,"Internet , 5k-10k Employees , Public , 29 years old , Noida +59 more"
13,Subros,4.0,"Auto Components , 1k-5k Employees , Public , 39 years old , Noida +60 more"
14,Samvardhana Motherson Group,3.8,"Auto Components , 1k-5k Employees , Public , 38 years old , Noida +81 more"
15,Wipro,3.8,"IT Services & Consulting , 1 Lakh+ Employees , Public , 79 years old , Bangalore/Bengaluru +272 more"
16,BYJU'S,3.1,"EdTech , 10k-50k Employees , Indian Unicorn , 13 years old , Bangalore +307 more"
17,Samsung,4.1,"Consumer Electronics & Appliances , 50k-1 Lakh Employees , Public , 55 years old , Seoul +499 more"
18,Sopra Steria,4.0,"IT Services & Consulting , 5k-10k Employees , Conglomerate , 56 years old , Paris +15 more"
19,Cogent E Services,3.3,"BPO , 10k-50k Employees , Conglomerate , 20 years old , Noida +35 more"
20,Lava International,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , Public , 15 years old , Noida +210 more"
21,Cognizant,3.9,"IT Services & Consulting , 1 Lakh+ Employees , Forbes Global 2000 , 30 years old , Noida +169 more"
22,Iris Software,4.2,"IT Services & Consulting , 1k-5k Employees , 33 years old , Noida +16 more"
23,IBM,4.1,"IT Services & Consulting , 1 Lakh+ Employees , Public , 113 years old , Noida +149 more"
24,GlobalLogic,3.7,"IT Services & Consulting , 10k-50k Employees , 24 years old , Noida +35 more"
25,MetLife,4.3,"Insurance , 1k-5k Employees , Forbes Global 2000 , 16 years old , Noida +39 more"
26,DXC Technology,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 7 years old , Noida +83 more"
27,Chetu,3.3,"Software Product , 1k-5k Employees , 24 years old , Noida +8 more"
28,NTT DATA,4.0,"IT Services & Consulting , 10k-50k Employees , 36 years old , Noida +60 more"
29,JustDial,3.6,"Internet , 10k-50k Employees , Public , 28 years old , Noida +181 more"
30,Provana,3.7,"IT Services & Consulting , 1k-5k Employees , 13 years old , Noida +6 more"
31,Uflex,3.8,"Packaging , 5k-10k Employees , Public , 39 years old , Noida +42 more"
32,NEC,4.6,"IT Services & Consulting , 5k-10k Employees , Forbes Global 2000 , 125 years old , Noida +39 more"
33,DS Group,4.1,"FMCG , 1k-5k Employees , Conglomerate , 95 years old , Noida +208 more"
34,R Systems International,3.4,"IT Services & Consulting , 1k-5k Employees , Public , 31 years old , Noida +15 more"
35,Newgen Software Technologies,3.6,"IT Services & Consulting , 1k-5k Employees , Public , 32 years old , Noida +23 more"
36,Amazon,4.1,"Internet , 1 Lakh+ Employees , Public , 30 years old , Hyderabad / Secunderabad +455 more"
37,Pacific BPO,3.6,"BPO , 1k-5k Employees , 14 years old , Noida +16 more"
38,Optum,4.0,"Healthcare , 10k-50k Employees , 47 years old , Hyderabad / Secunderabad +32 more"
39,KENT RO Systems,4.1,"Consumer Electronics & Appliances , 1k-5k Employees , 25 years old , Noida +139 more"
40,Fiserv,3.6,"FinTech , 5k-10k Employees , Forbes Global 2000 , 40 years old , Noida +29 more"
41,Barclays,4.0,"Banking , 10k-50k Employees , Forbes Global 2000 , 334 years old , Noida +30 more"
42,TELUS International Philippines,3.8,"IT Services & Consulting , 1k-5k Employees , Startup , 19 years old , Noida +15 more"
43,Birlasoft,3.8,"IT Services & Consulting , 10k-50k Employees , Public , 29 years old , Noida +35 more"
44,Aptara,3.3,"Printing & Publishing , 1k-5k Employees , 36 years old , Noida +11 more"
45,Adobe,4.2,"Software Product , 5k-10k Employees , Public , 27 years old , Noida +14 more"
46,Extramarks Education,3.5,"EdTech , 1k-5k Employees , 17 years old , Noida +101 more"
47,Isgec Heavy Engineering,3.9,"Industrial Machinery , 1k-5k Employees , Public , 91 years old , Noida +68 more"
48,R1 RCM,3.9,"Healthcare , 5k-10k Employees , 17 years old , Noida +32 more"
49,Axis Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 31 years old , Noida +1317 more"
50,Exl India,3.6,"IT Services & Consulting , 11-50 Employees , 67 years old , Noida +26 more"
51,Jakson Group,4.4,"Power , 5k-10k Employees , 77 years old , Noida +84 more"
52,Conduent,3.6,"BPO , 5k-10k Employees , 7 years old , Noida +22 more"
53,UnitedHealth,4.1,"Healthcare , 10k-50k Employees , Forbes Global 2000 , 47 years old , Noida +16 more"
54,Concentrix Corporation,3.9,"BPO , 50k-1 Lakh Employees , Public , 41 years old , Noida +117 more"
55,Bureau Veritas,4.0,"Other , 1k-5k Employees , Forbes Global 2000 , 196 years old , Noida +114 more"
56,Paytm Payments Bank,4.0,"FinTech , 1k-5k Employees , Public , 8 years old , Noida +110 more"
57,Ienergizer BPO Services,4.2,"BPO , 10k-50k Employees , Noida +11 more"
58,Kotak Mahindra Bank,3.9,"Banking , 50k-1 Lakh Employees , Public , 21 years old , Noida +573 more"
59,Glorious Insight,4.8,"IT Services & Consulting , 201-500 Employees , Noida +2 more"
60,HDB Financial Services,4.0,"NBFC , 1 Lakh+ Employees , 17 years old , Noida +959 more"
61,Havells,4.1,"Electrical Equipment , 5k-10k Employees , Public , 41 years old , Noida +185 more"
62,Dixon Technologies,4.2,"Electronics Manufacturing , 1k-5k Employees , Public , 31 years old , Noida +32 more"
63,Startek,3.3,"BPO , 10k-50k Employees , Public , 7 years old , Noida +72 more"
64,Ultimate Kronos Group,3.7,"IT Services & Consulting , 1k-5k Employees , 4 years old , Noida +7 more"
65,Pine Labs,3.7,"FinTech , 1k-5k Employees , Indian Unicorn , 26 years old , Noida +80 more"
66,Innodata India Private Limited,3.2,"IT Services & Consulting , 1k-5k Employees , 27 years old , Noida +8 more"
67,Infogain,3.6,"IT Services & Consulting , 1k-5k Employees , 34 years old , Noida +17 more"
68,ICICI Bank,4.0,"Banking , 1 Lakh+ Employees , Public , 30 years old , Noida +1295 more"
69,Nucleus Software Exports,3.6,"Software Product , 1k-5k Employees , Public , 38 years old , Noida +12 more"
70,Barclays Shared Services,4.1,"IT Services & Consulting , 5k-10k Employees , 17 years old , Noida +12 more"
71,HDFC Ergo General Insurance,4.0,"Insurance , 10k-50k Employees , Public , 22 years old , Noida +236 more"
72,HCL Infosystems,4.1,"IT Services & Consulting , 51-200 Employees , Public , 48 years old , Noida +105 more"
73,MothersonSumi INfotech & Designs,3.3,"IT Services & Consulting , 1k-5k Employees , 24 years old , Noida +14 more"
74,Investors Clinic,3.8,"Real Estate , 1k-5k Employees , 15 years old , Noida +23 more"
75,IDC Technologies,3.3,"IT Services & Consulting , 1k-5k Employees , 21 years old , Noida +56 more"
